a_racel,a_sf1,a_sf2a,a_sex_cr,a_age_cr,a_netinc1,a_indpxus_xw
1,2,3,1,32,1691,1.30187273
1,2,3,2,31,1591,1.035157681
1,4,3,1,61,1291,1.118258476
1,4,1,2,86,433.3334045,1.363541722
1,5,1,1,46,744.277771,1.062284112
1,3,3,2,44,851.0600586,0.926365256
1,4,1,1,65,703.828186,1.041098714
1,3,3,2,61,553.1364746,0.953780353
1,3,3,1,69,1112.916748,1.052054644
1,2,3,2,60,998.4168701,0.987981796
1,4,3,2,73,1109.708252,1.133086085
1,2,3,2,19,336,1.025090933
1,4,1,2,89,1100.666626,1.539902329
1,2,3,1,35,1851.034668,1.01055491
1,2,3,2,36,1977.660034,0.922364712
1,3,3,1,29,392.5694275,1.282899737
1,5,1,1,85,555.666748,1.117207408
1,2,3,2,50,1091,0.948315084
1,3,3,2,42,483.6600342,0.899840057
1,1,3,1,44,991,1.135875106
1,1,3,2,38,1064.604492,0.842826843
1,2,3,1,41,1918.092285,1.22959733
1,2,3,2,41,1393.083374,1.082172036
1,2,3,1,60,1116,0.942141294
1,1,3,2,49,628.430542,1.031551003
1,3,3,2,22,3437.660156,1.056918979
1,3,3,1,23,3047.041748,1.427989364
1,3,3,1,42,1891,1.421801925
1,3,3,2,42,2120.812256,1.072605252
1,3,3,2,17,351,1.234428287
1,2,1,1,81,252.333313,1.112024784
1,4,2,1,20,756.166748,1.159669161
1,4,2,1,55,983.7894287,1.229859471
1,2,3,2,25,1081.660034,0.948748946
1,3,3,2,34,483.5628052,0.88469106
1,3,3,1,50,1091,1.35490489
1,2,3,2,42,833.4118652,1.050285816
-7,1,-7,1,17,181.9999695,1.450323105
1,4,3,2,81,623.999939,1.173752069
1,4,3,1,54,386.0000916,1.246791005
1,5,1,2,63,988.333252,0.922661483
1,5,1,2,60,1092.98938,0.912650704
1,2,3,1,63,1992,1.035606384
1,4,2,1,23,578.5,1.330539703
1,4,3,2,25,734,0.87646383
1,2,3,2,71,784.333313,1.093531489
1,3,1,1,61,1128.333252,0.985513985
1,4,2,2,61,476.666626,0.885455847
1,5,1,2,59,681.8751221,0.973811507
1,1,3,2,20,1523.993408,1.173481107
1,3,3,1,67,1014.62915,1.100223303
1,3,3,2,59,1318.388916,0.891023815
1,2,3,1,33,2897.944336,1.054366946
1,3,3,2,33,1294.472168,0.909765005
1,2,3,2,36,1602.793579,0.884224534
1,3,3,1,28,891,1.48064661
1,5,1,2,56,671.3405762,0.809300125
1,5,1,2,35,1596.637695,0.759193301
1,2,3,2,36,1798.560059,0.895212233
1,4,2,1,73,1246.472412,0.891151786
1,1,3,2,24,1615.993286,0.984005988
